"States, UT",2020-21,2021-22,2022-23
Andhra Pradesh,163746,"1,92,587","2,19,518"
Arunachal Pradesh,190212,"2,15,897",NA
Assam,90482,"1,02,965","1,18,504"
Bihar,43605,49470,NA
Chhattisgarh,104788,"1,20,704","1,33,898"
Goa,431351,"4,72,070",NA
Gujarat,212821,"2,50,100",NA
Haryana,229065,"2,64,835","2,96,685"
Himachal Pradesh,183333,"2,01,854",NA
Jharkhand,71071,78660,NA
Karnataka,221310,"2,65,623","3,01,673"
Kerala,194322,"2,28,767",NA
Madhya Pradesh,103654,"1,21,594","1,40,583"
Maharashtra,183704,"2,15,233","2,42,247"
Manipur,79797,84345,NA
Meghalaya,84638,90638,98572
Mizoram,187838,"1,88,839",NA
Nagaland,126452,"1,42,363",NA
Odisha,102166,"1,28,873","1,50,676"
Punjab,149193,"1,61,888","1,73,873"
Rajasthan,115122,"1,35,962","1,56,149"
Sikkim,412754,"4,72,543",NA
Tamil Nadu,212174,"2,41,131","2,73,288"
Telangana,225687,"2,65,942","3,08,732"
Tripura,119789,"1,40,803",NA
Uttar Pradesh,61374,70792,NA
Uttarakhand,184002,"2,11,657","2,33,565"
West Bengal,106510,"1,24,798","1,41,373"
Andaman & Nicobar Islands,197275,NA,NA
Chandigarh,291194,"3,49,373",NA
Delhi,331112,"3,89,529",NA
Jammu & Kashmir,102803,"1,16,619","1,32,806"
Puducherry,203178,"2,09,890",NA
